decision_state_id,dataset_id,machine_archetype,decision_severity,temporal_type,top_recommended_action,top_action_name,top_suitability_score,top_urgency_score,top_effectiveness_score,top_operational_risk,top_confidence,top_final_verdict,top_reasoning_summary,alternative_actions,candidate_ranking_order,num_candidates_evaluated,insufficient_information,uncertainty_explanation,llm_provider,llm_model,eval_latency_ms,evaluated_at
DS_AI4I_168,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,95,95,20,0.9,RECOMMENDED,Immediate controlled shutdown is necessary due to the critical severity tier.,"[""ACT_OP_DERATE_LOAD"", ""ACT_INSP_TOOL_WEAR""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.001951+00:00
DS_AI4I_847,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,90,95,15,0.95,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.001993+00:00
DS_AI4I_880,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,90,92,15,0.95,RECOMMENDED,High tool wear and torque demand immediate replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_OP_DERATE_LOAD > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002011+00:00
DS_AI4I_903,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,98,90,70,0.95,RECOMMENDED,Critical tool wear; immediate replacement needed.,"[""ACT_OP_DERATE_LOAD"", ""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_INSP_TOOL_WEAR""]",ACT_REPL_TOOL_INSERT > ACT_OP_DERATE_LOAD > ACT_OP_CONTROLLED_SHUTDOWN > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002026+00:00
DS_AI4I_926,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,98,95,15,0.95,RECOMMENDED,Critical tool wear and severity demand immediate controlled shutdown to prevent catastrophic failure.,"[""ACT_REPL_TOOL_INSERT""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_REPL_TOOL_INSERT > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002038+00:00
DS_AI4I_1095,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_OP_CONTROLLED_SHUTDOWN,ACT_OP_CONTROLLED_SHUTDOWN,95,95,90,20,0.9,RECOMMENDED,Critical severity requires immediate controlled shutdown to prevent catastrophic failure.,"[""ACT_OP_DERATE_LOAD"", ""ACT_INSP_TOOL_WEAR""]",ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_REPL_TOOL_INSERT > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002050+00:00
DS_AI4I_1124,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,95,15,0.95,RECOMMENDED,Critical tool wear and high torque demand immediate replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN"", ""ACT_OP_DERATE_LOAD""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002060+00:00
DS_AI4I_1437,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_INSP_TOOL_WEAR,ACT_INSP_TOOL_WEAR,96,94,80,8,0.82,RECOMMENDED,Critical snapshot warrants immediate low-risk tool inspection before committing to invasive replacement.,"[""ACT_OP_DERATE_LOAD"", ""ACT_REPL_TOOL_INSERT""]",ACT_INSP_TOOL_WEAR > ACT_OP_DERATE_LOAD > ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_MON_CONTINUE,5,True,"The calibrated CRITICAL tier supports prompt low-risk inspection, but unknown wear and torque thresholds plus the snapshot-only record do not establish tool failure or imminent hazard.",gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002071+00:00
DS_AI4I_1509,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,90,20,0.95,RECOMMENDED,Critical tool wear of 220 minutes requires immediate replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002081+00:00
DS_AI4I_1808,ai4i_2020,cnc_mill,CRITICAL,static_tabular,ACT_REPL_TOOL_INSERT,ACT_REPL_TOOL_INSERT,95,95,90,15,0.95,RECOMMENDED,Critical tool wear requires immediate insert replacement to prevent catastrophic failure.,"[""ACT_OP_CONTROLLED_SHUTDOWN""]",ACT_REPL_TOOL_INSERT > ACT_OP_CONTROLLED_SHUTDOWN > ACT_OP_DERATE_LOAD > ACT_INSP_TOOL_WEAR > ACT_MON_CONTINUE,5,False,,gemini,gemini-3.5-flash-lite,0,2026-09-22T14:47:31.002092+00:00
