Problem_Type,Machine_ID,Predicted_Label,Predicted_Value,Anomaly_Count,Priority_Level,Priority_Score,Reason_for_Action,Recommended_Action,Contributing_Factors,Estimated_Cost,Timeframe,Model_Confidence,Model_Warning
classification,M001,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=62.27, Vibration_mm_s=1.24, Pressure_Bar=4.59","High ($5,000+)",Within 24-48 hours,High,
classification,M009,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=68.28, Vibration_mm_s=0.56, Pressure_Bar=5.37","High ($5,000+)",Within 24-48 hours,High,
classification,M007,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=62.03, Vibration_mm_s=0.18, Pressure_Bar=5.34","High ($5,000+)",Within 24-48 hours,High,
classification,M003,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=66.56, Vibration_mm_s=0.55, Pressure_Bar=5.12","High ($5,000+)",Within 24-48 hours,High,
classification,M005,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=60.23, Vibration_mm_s=1.85, Pressure_Bar=5.33","High ($5,000+)",Within 24-48 hours,High,
classification,M008,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=58.39, Vibration_mm_s=0.51, Pressure_Bar=3.79","High ($5,000+)",Within 24-48 hours,High,
classification,M010,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=64.37, Vibration_mm_s=1.69, Pressure_Bar=5.28","High ($5,000+)",Within 24-48 hours,High,
classification,M004,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=52.16, Vibration_mm_s=1.74, Pressure_Bar=4.68","High ($5,000+)",Within 24-48 hours,High,
classification,M006,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=63.10, Vibration_mm_s=1.97, Pressure_Bar=5.87","High ($5,000+)",Within 24-48 hours,High,
classification,M002,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=75.83, Vibration_mm_s=0.48, Pressure_Bar=5.42","High ($5,000+)",Within 24-48 hours,High,
