Problem_Type,Machine_ID,Predicted_Label,Predicted_Value,Anomaly_Count,Priority_Level,Priority_Score,Reason_for_Action,Recommended_Action,Contributing_Factors,Estimated_Cost,Timeframe,Model_Confidence,Model_Warning
classification,M008,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=78.37, Vibration_mm_s=1.73, Pressure_Bar=4.70","High ($5,000+)",Within 24-48 hours,High,
classification,M001,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=83.12, Vibration_mm_s=0.56, Pressure_Bar=4.65","High ($5,000+)",Within 24-48 hours,High,
classification,M007,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=61.27, Vibration_mm_s=0.64, Pressure_Bar=4.91","High ($5,000+)",Within 24-48 hours,High,
classification,M003,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=67.33, Vibration_mm_s=0.47, Pressure_Bar=5.14","High ($5,000+)",Within 24-48 hours,High,
classification,M010,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=63.89, Vibration_mm_s=0.74, Pressure_Bar=4.86","High ($5,000+)",Within 24-48 hours,High,
classification,M005,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=63.82, Vibration_mm_s=1.67, Pressure_Bar=4.49","High ($5,000+)",Within 24-48 hours,High,
classification,M004,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=72.56, Vibration_mm_s=0.58, Pressure_Bar=5.43","High ($5,000+)",Within 24-48 hours,High,
classification,M002,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=75.24, Vibration_mm_s=0.64, Pressure_Bar=4.91","High ($5,000+)",Within 24-48 hours,High,
classification,M006,3,,,Critical,3.0,"Model predicted '3' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",IMMEDIATE: Dispatch maintenance team to investigate and recover performance.,"Temp_C=65.66, Vibration_mm_s=0.74, Pressure_Bar=5.39","High ($5,000+)",Within 24-48 hours,High,
classification,M009,2,,,Elevated,2.0,"Model predicted '2' for the current operating state. Key drivers include: Temp_C, Vibration_mm_s, Pressure_Bar.",Schedule targeted maintenance in the upcoming service window.,"Temp_C=53.69, Vibration_mm_s=2.22, Pressure_Bar=4.89","Medium ($1,000-$5,000)",Within 1-2 weeks,High,
